ticket_id,customer_id,issue_type,created_date,resolution_time_hours,ai_preventable,potential_savings
TKT000104,CUST002046,Billing Error,2024-04-24,4,TRUE,25
TKT000105,CUST003387,Account Security,2023-09-25,6.25,FALSE,0
TKT000106,CUST004498,Feature Confusion,2024-12-26,5.25,FALSE,0
TKT000107,CUST000807,Plan Optimization,2024-09-18,21,TRUE,15
TKT000108,CUST003368,Plan Optimization,2024-10-20,4,TRUE,15
TKT000109,CUST001254,Billing Error,2025-03-15,1,TRUE,25
TKT000110,CUST003232,Overage Surprise,2023-02-20,7.25,TRUE,35
TKT000111,CUST001628,Service Outage,2025-09-15,0.5,FALSE,0
TKT000112,CUST002500,Plan Optimization,2024-11-12,4,TRUE,15
TKT000113,CUST002583,Overage Surprise,2024-05-22,3.25,TRUE,35
TKT000114,CUST004104,Roaming Charges,2023-12-13,2.25,TRUE,45
TKT000115,CUST003280,Overage Surprise,2024-09-23,5.25,TRUE,35
TKT000116,CUST004796,Payment Failure,2025-02-07,2.25,TRUE,10
TKT000117,CUST000032,Overage Surprise,2023-03-24,5.25,TRUE,35
TKT000118,CUST003334,Roaming Charges,2023-05-07,7.25,TRUE,45
TKT000119,CUST003838,Service Outage,2024-07-25,0.5,FALSE,0
TKT000120,CUST000219,Plan Optimization,2024-10-21,20,TRUE,15
TKT000121,CUST000085,Payment Failure,2025-06-18,3.25,TRUE,10
TKT000122,CUST002827,Feature Confusion,2023-10-24,0.25,FALSE,0
TKT000123,CUST001878,Roaming Charges,2024-07-13,3.25,TRUE,45
TKT000124,CUST000674,Billing Error,2023-12-16,24,TRUE,25
TKT000125,CUST004097,Overage Surprise,2025-07-22,0.25,TRUE,35
TKT000126,CUST001092,Payment Failure,2024-02-06,0.25,TRUE,10
TKT000127,CUST003841,Payment Failure,2025-05-10,1.25,TRUE,10
TKT000128,CUST003095,Payment Failure,2024-02-05,1.25,TRUE,10
TKT000129,CUST004376,Plan Optimization,2024-12-28,17,TRUE,15
TKT000130,CUST003047,Service Outage,2025-01-22,2.5,FALSE,0
TKT000131,CUST004290,Plan Optimization,2023-06-17,2,TRUE,15
TKT000132,CUST000480,Account Security,2025-02-24,6.25,FALSE,0
TKT000133,CUST004152,Billing Error,2024-12-17,7,TRUE,25
TKT000134,CUST001351,Payment Failure,2023-07-31,5.25,TRUE,10
TKT000135,CUST003202,Service Outage,2024-01-23,1.5,FALSE,0
TKT000136,CUST001342,Feature Confusion,2024-03-16,4.25,FALSE,0
TKT000137,CUST004582,Plan Optimization,2025-02-03,6,TRUE,15
TKT000138,CUST001458,Payment Failure,2025-07-03,2.25,TRUE,10
TKT000139,CUST004518,Overage Surprise,2023-08-05,1.25,TRUE,35
TKT000140,CUST002660,Feature Confusion,2023-09-19,5.25,FALSE,0
TKT000141,CUST000534,Plan Optimization,2025-06-02,17,TRUE,15
TKT000142,CUST004894,Overage Surprise,2025-08-10,6.25,TRUE,35
TKT000143,CUST000838,Overage Surprise,2023-04-30,0.25,TRUE,35
TKT000144,CUST002398,Account Security,2024-10-14,2.25,FALSE,0
TKT000145,CUST001321,Billing Error,2025-01-09,18,TRUE,25
TKT000146,CUST001406,Billing Error,2023-06-26,20,TRUE,25
TKT000147,CUST001659,Payment Failure,2024-10-25,0.25,TRUE,10
TKT000148,CUST004737,Service Outage,2025-09-15,3.5,FALSE,0
TKT000149,CUST000119,Network Issue,2023-05-08,1.5,FALSE,0
TKT000150,CUST004488,Plan Optimization,2025-02-11,7,TRUE,15
TKT000151,CUST000022,Billing Error,2023-11-02,22,TRUE,25
TKT000152,CUST000636,Network Issue,2024-07-02,0.5,FALSE,0
TKT000153,CUST001538,Feature Confusion,2023-07-26,6.25,FALSE,0
TKT000154,CUST000465,Feature Confusion,2024-09-20,6.25,FALSE,0
TKT000155,CUST002394,Account Security,2023-10-23,3.25,FALSE,0
TKT000156,CUST001949,Account Security,2025-02-06,7.25,FALSE,0
TKT000157,CUST003727,Service Outage,2023-02-28,3.5,FALSE,0
TKT000158,CUST004649,Payment Failure,2025-07-18,6.25,TRUE,10
TKT000159,CUST001607,Roaming Charges,2024-03-28,1.25,TRUE,45
TKT000160,CUST003824,Network Issue,2023-10-05,3.5,FALSE,0
TKT000161,CUST003527,Account Security,2025-04-10,4.25,FALSE,0
TKT000162,CUST004783,Feature Confusion,2024-10-29,6.25,FALSE,0
TKT000163,CUST004305,Feature Confusion,2024-09-10,7.25,FALSE,0
TKT000164,CUST001706,Account Security,2023-11-05,0.25,FALSE,0
TKT000165,CUST001127,Payment Failure,2024-02-03,7.25,TRUE,10
TKT000166,CUST003789,Overage Surprise,2023-09-14,4.25,TRUE,35
TKT000167,CUST002158,Account Security,2024-01-24,1.25,FALSE,0
TKT000168,CUST004776,Overage Surprise,2023-12-05,0.25,TRUE,35
TKT000169,CUST001257,Feature Confusion,2023-01-10,3.25,FALSE,0
TKT000170,CUST004879,Service Outage,2025-02-01,2.5,FALSE,0
TKT000171,CUST001672,Payment Failure,2023-01-13,3.25,TRUE,10
TKT000172,CUST000926,Network Issue,2024-06-21,2.5,FALSE,0
TKT000173,CUST002277,Overage Surprise,2023-05-02,3.25,TRUE,35
TKT000174,CUST002483,Payment Failure,2024-08-22,4.25,TRUE,10
TKT000175,CUST003977,Feature Confusion,2025-02-24,7.25,FALSE,0
TKT000176,CUST002431,Plan Optimization,2024-12-02,24,TRUE,15
TKT000177,CUST004527,Account Security,2025-03-28,2.25,FALSE,0
TKT000178,CUST002129,Account Security,2024-04-24,6.25,FALSE,0
TKT000179,CUST002535,Account Security,2023-05-27,7.25,FALSE,0
TKT000180,CUST001322,Overage Surprise,2025-02-18,6.25,TRUE,35
TKT000181,CUST004445,Account Security,2025-01-22,7.25,FALSE,0
TKT000182,CUST000947,Billing Error,2024-11-30,22,TRUE,25
TKT000183,CUST000087,Payment Failure,2024-12-05,4.25,TRUE,10
TKT000184,CUST003835,Service Outage,2025-04-15,1.5,FALSE,0
TKT000185,CUST003813,Feature Confusion,2023-06-08,0.25,FALSE,0
TKT000186,CUST004279,Billing Error,2025-03-19,13,TRUE,25
TKT000187,CUST000530,Roaming Charges,2024-05-18,3.25,TRUE,45
TKT000188,CUST003566,Account Security,2025-05-05,5.25,FALSE,0
TKT000189,CUST002723,Feature Confusion,2024-12-12,1.25,FALSE,0
TKT000190,CUST000477,Plan Optimization,2024-02-06,18,TRUE,15
TKT000191,CUST003620,Payment Failure,2025-06-09,6.25,TRUE,10
TKT000192,CUST004513,Overage Surprise,2024-02-03,2.25,TRUE,35
TKT000193,CUST003604,Feature Confusion,2024-12-12,1.25,FALSE,0
TKT000194,CUST000878,Roaming Charges,2025-03-14,7.25,TRUE,45
TKT000195,CUST000067,Payment Failure,2023-12-11,3.25,TRUE,10
TKT000196,CUST003633,Network Issue,2023-02-11,0.5,FALSE,0
TKT000197,CUST000243,Billing Error,2024-10-22,13,TRUE,25
TKT000198,CUST001647,Roaming Charges,2023-08-15,5.25,TRUE,45
TKT000199,CUST002405,Roaming Charges,2024-04-01,4.25,TRUE,45
TKT000200,CUST004052,Service Outage,2023-12-24,3.5,FALSE,0
TKT000201,CUST000629,Roaming Charges,2023-10-24,2.25,TRUE,45
TKT000202,CUST004975,Service Outage,2023-10-16,0.5,FALSE,0
TKT000203,CUST001441,Account Security,2024-02-03,1.25,FALSE,0
TKT000204,CUST003429,Account Security,2023-08-21,4.25,FALSE,0
TKT000205,CUST004333,Roaming Charges,2024-07-28,7.25,TRUE,45
TKT000206,CUST002689,Payment Failure,2023-10-19,4.25,TRUE,10
TKT000207,CUST001801,Payment Failure,2024-05-09,6.25,TRUE,10
TKT000208,CUST002130,Service Outage,2023-07-05,1.5,FALSE,0
TKT000209,CUST001148,Roaming Charges,2023-03-21,3.25,TRUE,45
TKT000210,CUST002396,Roaming Charges,2024-03-15,3.25,TRUE,45
TKT000211,CUST004473,Feature Confusion,2024-03-16,5.25,FALSE,0
TKT000212,CUST000743,Billing Error,2024-07-18,3,TRUE,25
TKT000213,CUST004310,Feature Confusion,2025-08-23,5.25,FALSE,0
TKT000214,CUST000888,Plan Optimization,2023-10-14,6,TRUE,15
TKT000215,CUST002614,Roaming Charges,2024-07-30,2.25,TRUE,45
TKT000216,CUST004106,Billing Error,2025-07-04,18,TRUE,25
TKT000217,CUST004991,Overage Surprise,2025-03-12,1.25,TRUE,35
TKT000218,CUST002331,Roaming Charges,2025-04-09,6.25,TRUE,45
TKT000219,CUST002795,Account Security,2024-02-28,2.25,FALSE,0
TKT000220,CUST004710,Account Security,2023-02-20,4.25,FALSE,0
TKT000221,CUST004349,Billing Error,2025-07-22,18,TRUE,25
TKT000222,CUST003613,Billing Error,2024-01-15,12,TRUE,25
TKT000223,CUST003182,Payment Failure,2025-01-23,6.25,TRUE,10
TKT000224,CUST004499,Roaming Charges,2024-03-31,4.25,TRUE,45
TKT000225,CUST000699,Network Issue,2023-12-13,1.5,FALSE,0
TKT000226,CUST002330,Feature Confusion,2025-04-02,4.25,FALSE,0
TKT000227,CUST003737,Overage Surprise,2025-07-23,0.25,TRUE,35
TKT000228,CUST004749,Payment Failure,2024-04-06,2.25,TRUE,10
TKT000229,CUST004925,Account Security,2024-12-07,1.25,FALSE,0
TKT000230,CUST002055,Billing Error,2023-03-05,19,TRUE,25
TKT000231,CUST003154,Network Issue,2024-06-25,3.5,FALSE,0
TKT000232,CUST004698,Billing Error,2025-01-24,13,TRUE,25
TKT000233,CUST001425,Plan Optimization,2023-12-27,12,TRUE,15
TKT000234,CUST004305,Roaming Charges,2023-07-23,0.25,TRUE,45
TKT000235,CUST003665,Service Outage,2024-12-01,1.5,FALSE,0
TKT000236,CUST003766,Roaming Charges,2023-02-21,2.25,TRUE,45
TKT000237,CUST001981,Feature Confusion,2024-04-01,3.25,FALSE,0
TKT000238,CUST000867,Payment Failure,2023-08-01,1.25,TRUE,10
TKT000239,CUST002000,Payment Failure,2023-01-02,7.25,TRUE,10
TKT000240,CUST001643,Service Outage,2024-11-01,2.5,FALSE,0
TKT000241,CUST002532,Feature Confusion,2024-01-31,2.25,FALSE,0
TKT000242,CUST001837,Network Issue,2024-06-11,1.5,FALSE,0
TKT000243,CUST002275,Network Issue,2025-03-11,2.5,FALSE,0
TKT000244,CUST001596,Plan Optimization,2025-02-24,20,TRUE,15
TKT000245,CUST000712,Payment Failure,2023-06-06,0.25,TRUE,10
TKT000246,CUST003961,Roaming Charges,2024-04-30,7.25,TRUE,45
TKT000247,CUST003745,Overage Surprise,2023-10-10,0.25,TRUE,35
TKT000248,CUST002626,Overage Surprise,2025-04-27,5.25,TRUE,35
TKT000249,CUST003421,Account Security,2023-04-26,1.25,FALSE,0
TKT000250,CUST003969,Network Issue,2024-02-05,0.5,FALSE,0
TKT000251,CUST001862,Account Security,2023-02-09,7.25,FALSE,0
TKT000252,CUST002423,Roaming Charges,2024-06-28,0.25,TRUE,45
TKT000253,CUST000791,Network Issue,2024-01-31,1.5,FALSE,0
TKT000254,CUST002941,Plan Optimization,2023-07-24,4,TRUE,15
TKT000255,CUST003003,Service Outage,2023-09-07,3.5,FALSE,0
TKT000256,CUST000793,Feature Confusion,2023-09-14,4.25,FALSE,0
TKT000257,CUST000565,Account Security,2023-05-31,7.25,FALSE,0
TKT000258,CUST003771,Overage Surprise,2023-06-17,7.25,TRUE,35
TKT000259,CUST004860,Billing Error,2024-09-19,12,TRUE,25
TKT000260,CUST003960,Roaming Charges,2025-03-19,0.25,TRUE,45
TKT000261,CUST003757,Payment Failure,2024-07-16,4.25,TRUE,10
TKT000262,CUST002523,Account Security,2024-09-21,3.25,FALSE,0
TKT000263,CUST004422,Payment Failure,2023-08-06,4.25,TRUE,10
TKT000264,CUST001461,Overage Surprise,2023-10-16,5.25,TRUE,35
TKT000265,CUST001181,Network Issue,2025-01-07,3.5,FALSE,0
TKT000266,CUST003622,Service Outage,2024-02-02,1.5,FALSE,0
TKT000267,CUST003798,Billing Error,2025-02-02,21,TRUE,25
TKT000268,CUST000754,Overage Surprise,2024-04-04,5.25,TRUE,35
TKT000269,CUST003314,Payment Failure,2024-10-05,6.25,TRUE,10
TKT000270,CUST004850,Overage Surprise,2025-01-12,3.25,TRUE,35
TKT000271,CUST002725,Roaming Charges,2024-10-04,4.25,TRUE,45
TKT000272,CUST000685,Overage Surprise,2024-03-29,7.25,TRUE,35
TKT000273,CUST002175,Plan Optimization,2025-05-22,19,TRUE,15
TKT000274,CUST004333,Account Security,2023-02-09,2.25,FALSE,0
TKT000275,CUST000821,Billing Error,2024-11-25,9,TRUE,25
TKT000276,CUST000768,Payment Failure,2025-02-20,3.25,TRUE,10
TKT000277,CUST001608,Plan Optimization,2024-09-20,13,TRUE,15
TKT000278,CUST001605,Roaming Charges,2024-10-23,5.25,TRUE,45
TKT000279,CUST004234,Payment Failure,2023-07-28,1.25,TRUE,10
TKT000280,CUST001294,Billing Error,2023-01-20,21,TRUE,25
TKT000281,CUST003871,Plan Optimization,2024-09-18,17,TRUE,15
TKT000282,CUST000126,Overage Surprise,2024-07-09,3.25,TRUE,35
TKT000283,CUST000768,Billing Error,2024-10-21,19,TRUE,25
TKT000284,CUST004979,Overage Surprise,2025-08-06,7.25,TRUE,35
TKT000285,CUST003802,Roaming Charges,2025-03-28,4.25,TRUE,45
TKT000286,CUST000268,Plan Optimization,2023-08-16,13,TRUE,15
TKT000287,CUST002699,Feature Confusion,2023-08-05,6.25,FALSE,0
TKT000288,CUST000759,Feature Confusion,2023-09-04,0.25,FALSE,0
TKT000289,CUST000760,Service Outage,2024-12-27,3.5,FALSE,0
TKT000290,CUST001078,Account Security,2024-09-23,7.25,FALSE,0
TKT000291,CUST000168,Billing Error,2024-01-18,4,TRUE,25
TKT000292,CUST004527,Account Security,2023-02-12,6.25,FALSE,0
TKT000293,CUST002834,Payment Failure,2024-10-03,4.25,TRUE,10
TKT000294,CUST000256,Network Issue,2024-12-07,1.5,FALSE,0
TKT000295,CUST004709,Roaming Charges,2025-09-06,0.25,TRUE,45
TKT000296,CUST003000,Service Outage,2025-08-13,0.5,FALSE,0
TKT000297,CUST004762,Overage Surprise,2023-10-30,2.25,TRUE,35
TKT000298,CUST000380,Service Outage,2024-06-30,1.5,FALSE,0
TKT000299,CUST003880,Plan Optimization,2025-03-09,6,TRUE,15
TKT000300,CUST003505,Roaming Charges,2025-05-22,2.25,TRUE,45
TKT000301,CUST002782,Account Security,2023-03-05,4.25,FALSE,0
TKT000302,CUST000714,Roaming Charges,2023-08-08,6.25,TRUE,45
TKT000303,CUST000512,Payment Failure,2023-12-18,7.25,TRUE,10
TKT000304,CUST001324,Billing Error,2025-05-19,5,TRUE,25
TKT000305,CUST003983,Plan Optimization,2024-10-05,12,TRUE,15
TKT000306,CUST003657,Feature Confusion,2024-02-26,2.25,FALSE,0
TKT000307,CUST000109,Plan Optimization,2024-03-06,10,TRUE,15
TKT000308,CUST003817,Roaming Charges,2023-03-07,2.25,TRUE,45
TKT000309,CUST000111,Service Outage,2025-06-19,1.5,FALSE,0
TKT000310,CUST004914,Billing Error,2023-04-28,14,TRUE,25
TKT000311,CUST001635,Network Issue,2024-07-28,1.5,FALSE,0
TKT000312,CUST004510,Payment Failure,2024-07-15,7.25,TRUE,10
TKT000313,CUST003262,Roaming Charges,2023-08-25,6.25,TRUE,45
TKT000314,CUST001230,Roaming Charges,2023-07-21,0.25,TRUE,45
TKT000315,CUST002788,Plan Optimization,2023-12-23,12,TRUE,15
TKT000316,CUST002826,Payment Failure,2025-06-20,5.25,TRUE,10
TKT000317,CUST003336,Overage Surprise,2024-08-08,5.25,TRUE,35
TKT000318,CUST001029,Network Issue,2024-01-16,1.5,FALSE,0
TKT000319,CUST001145,Overage Surprise,2024-07-01,7.25,TRUE,35
TKT000320,CUST003231,Overage Surprise,2023-11-23,2.25,TRUE,35
TKT000321,CUST002903,Service Outage,2024-08-28,3.5,FALSE,0
TKT000322,CUST000363,Billing Error,2024-10-27,6,TRUE,25
TKT000323,CUST000604,Roaming Charges,2024-12-13,6.25,TRUE,45
TKT000324,CUST004474,Account Security,2023-06-02,3.25,FALSE,0
TKT000325,CUST002460,Service Outage,2025-08-11,2.5,FALSE,0
TKT000326,CUST003825,Billing Error,2025-08-01,17,TRUE,25
TKT000327,CUST002964,Billing Error,2025-05-05,20,TRUE,25
TKT000328,CUST000427,Roaming Charges,2025-03-12,2.25,TRUE,45
TKT000329,CUST000568,Overage Surprise,2023-02-22,6.25,TRUE,35
TKT000330,CUST000053,Payment Failure,2025-03-09,3.25,TRUE,10
TKT000331,CUST001118,Account Security,2023-02-04,0.25,FALSE,0
TKT000332,CUST000893,Network Issue,2024-01-09,3.5,FALSE,0
TKT000333,CUST001995,Overage Surprise,2023-11-24,6.25,TRUE,35
TKT000334,CUST002746,Billing Error,2025-01-31,17,TRUE,25
TKT000335,CUST002811,Overage Surprise,2023-01-12,2.25,TRUE,35
TKT000336,CUST001852,Account Security,2024-05-08,6.25,FALSE,0
TKT000337,CUST002724,Roaming Charges,2023-04-06,3.25,TRUE,45
TKT000338,CUST002186,Overage Surprise,2023-05-31,4.25,TRUE,35
TKT000339,CUST003859,Service Outage,2025-05-08,1.5,FALSE,0
TKT000340,CUST004343,Overage Surprise,2023-04-09,7.25,TRUE,35
TKT000341,CUST003674,Network Issue,2025-04-20,3.5,FALSE,0
TKT000342,CUST004857,Billing Error,2025-05-06,2,TRUE,25
TKT000343,CUST001039,Feature Confusion,2024-02-28,7.25,FALSE,0
TKT000344,CUST001384,Feature Confusion,2025-06-11,3.25,FALSE,0
TKT000345,CUST002098,Feature Confusion,2024-09-17,1.25,FALSE,0
TKT000346,CUST001263,Billing Error,2025-05-23,19,TRUE,25
TKT000347,CUST001725,Plan Optimization,2025-01-02,5,TRUE,15
TKT000348,CUST004254,Service Outage,2023-12-09,1.5,FALSE,0
TKT000349,CUST002928,Account Security,2023-02-06,7.25,FALSE,0
TKT000350,CUST002430,Overage Surprise,2024-04-05,7.25,TRUE,35
TKT000351,CUST000611,Network Issue,2023-08-12,0.5,FALSE,0
TKT000352,CUST000419,Overage Surprise,2023-04-06,1.25,TRUE,35
TKT000353,CUST001710,Payment Failure,2023-12-07,2.25,TRUE,10
TKT000354,CUST003840,Payment Failure,2024-08-19,0.25,TRUE,10
TKT000355,CUST002114,Billing Error,2023-03-03,8,TRUE,25
TKT000356,CUST003652,Feature Confusion,2023-06-12,2.25,FALSE,0
TKT000357,CUST003707,Plan Optimization,2024-01-30,12,TRUE,15
TKT000358,CUST001353,Payment Failure,2025-04-09,6.25,TRUE,10
TKT000359,CUST000497,Roaming Charges,2025-01-21,5.25,TRUE,45
TKT000360,CUST003251,Payment Failure,2024-03-01,1.25,TRUE,10
TKT000361,CUST003176,Roaming Charges,2023-05-17,5.25,TRUE,45
TKT000362,CUST003311,Payment Failure,2025-08-18,6.25,TRUE,10
TKT000363,CUST003901,Feature Confusion,2023-06-02,3.25,FALSE,0
TKT000364,CUST004732,Account Security,2023-05-27,4.25,FALSE,0
TKT000365,CUST002871,Account Security,2025-04-30,5.25,FALSE,0
TKT000366,CUST004902,Account Security,2025-04-12,5.25,FALSE,0
TKT000367,CUST001151,Payment Failure,2025-01-01,7.25,TRUE,10
TKT000368,CUST002767,Network Issue,2023-04-18,1.5,FALSE,0
TKT000369,CUST003103,Feature Confusion,2024-12-07,6.25,FALSE,0
TKT000370,CUST004596,Roaming Charges,2023-11-12,2.25,TRUE,45
TKT000371,CUST003144,Overage Surprise,2023-06-25,3.25,TRUE,35
TKT000372,CUST002815,Feature Confusion,2023-02-26,6.25,FALSE,0
TKT000373,CUST002171,Feature Confusion,2023-04-05,1.25,FALSE,0
TKT000374,CUST003328,Service Outage,2024-09-20,2.5,FALSE,0
TKT000375,CUST002055,Plan Optimization,2025-08-15,11,TRUE,15
TKT000376,CUST001256,Payment Failure,2025-06-20,1.25,TRUE,10
TKT000377,CUST002439,Overage Surprise,2024-12-24,7.25,TRUE,35
TKT000378,CUST000941,Billing Error,2025-03-28,20,TRUE,25
TKT000379,CUST000752,Roaming Charges,2024-11-04,5.25,TRUE,45
TKT000380,CUST004972,Billing Error,2024-07-23,5,TRUE,25
TKT000381,CUST004073,Service Outage,2024-01-29,3.5,FALSE,0
